Teks Komentar,Stance
"grup chat mahasiswa yang isinya tiap hari cuma obrolan ngelecehin perempuan, mulai dari sesama mahasiswa, Ibu dosen, sampe bahkan ada keluarga (ibu dan kakak) dari PELAKU sendiri juga ikut dijadikan bahan obrolan melecehkan di dalam grup itu, freak banget pokoknya deh",Neutral
"nope, kekerasan s3ksual",Neutral
Kok yang pegang mik gak ngaca ya dia menampilkan aurat nya sendiri pakai kaos dan celana oblong kok dari kampus tidak mengatur tentang berpakaian MIRIS sekelas UI tiadak ada didikan norma sopan santun Mahasiswa kok penampilan seperti itu😅😅,Neutral
mas andovi join marapton dong,Neutral
Kasus ksus kasus... ijazah palsu ga kelar2 segitu canggih nya alat2 penegakan hukum .... emang manusia2 pada seneng ribut aja... di bumi saja sdh hilang kenyamanan ....apalagi di tempat yg hanya bisa di huni oleh manusia2 bersih dan damai,Neutral
"Berita ui kak, kasus ks. Dan di vt ini, mereka semua pelakunya",Neutral
pelecehan verbal jadi mereka pulu pulu ini buat grub dan melakukan pelecehan verbal ke mahasiswi dan ke dosen nya dosen perempuan,Neutral
"muter² bngt anjir klarifikasi pelaku, gw nonton in sampe mlm kirain bakal ada titik terang gatau nya engga juga 😭😭😭😭😭, karna ya itu, isi nya template",Neutral
"LEVEL JOKES LO KAYA GITU? DIH, ENABLER YA LO",Neutral
"aku mau tdur jam 12 tau"" nya para pelaku keluar akhirnya ga jdi tdur krna lagi seru"" nya tu, akhirnya jam 1 aku tdur krna ga kuat mata 😭",Neutral
KAWAL SMPE DO,Neutral
sampe jam 3😭,Neutral
14 orang pelaku kekerasan seksual di fakultas hukum universitas Indonesia yang melakukan kekerasan seksual yang melakukan kekerasan di chat ke 14 pelaku udah di DO dari kampus,Neutral
pelaku 16 kalo masalah grup itu ada 1 orang yg suka invit² orang banyak trus pada dikick in atau keluar sendiri yg utama keknya 16 orang ini,Neutral
😂😂😂😂😂  UI bidang hukum 😂😂😂😂😂😂😂😂 kalau lulus BISA JADI  HUKUM DI INDONESIA  TAMBAH PARAH BISA BISA HUKUM KAN DI OBRAL,Advocacy
makanya lihat sampai kedalam2nya UI,Neutral
iyakak aku tontonin jam 3 masih live,Neutral
"Malunya sampai ke ubun ubun
Jangan pikir perkaranya sampai disini, keluar kuliah dah kena cap orang orang ini",Neutral
Mahasiswa itu ank2 muda terpelajar lha kok moralmu bejat to le ...le ....smg UI nertindak tegas pd pelecehan itu.,Neutral
malah bagus di publish,Neutral
"Berilmu tinggi, bermoral rendah.",Neutral
ehh ini kenapa ketinggalan berita,Neutral
"@yukari:sedih bgt, peluk jauh untuk semua perempuan🫂",Neutral
