Teks Komentar,Stance,
"Sungguh memalukan dan mencoreng nama baik UI dan tidak menjaga marwah UI, bayangkan sekelas mahasiswa FH UI bisa terlibat kasus pelecehan seksual gak habis pikir otaknya dimana ya dan yg melakukan tindakan itu jumlahnya 16 orang gilaaa banyak bgt parah wajib harus di DO dan di hukum itu biar jera !!!",Advocacy,
ngapain jir ngelecehin,Neutral,
gokil Mn gokil,Neutral,
asli wkwkwk aku liat livenya smpe dipagerin sm dosen,Neutral,
"Cowok bodoh, Napa tidak liat tiktod aja disana banyak cewek melecehkan dirinya sendiri malah cari perkara",VictimBlaming,
DO dan pidanakan.,Advocacy,
Di DO saja kemudian proses hukum sesuai kasus  pelecehan sexualitas,Advocacy,
"Hukum DO tp klu utk 2 orang ini kasih dikit keringanan karena paling ga dia udh dtng mengakui kesalahan nya hukuman sedikit lebih ringan dr yg lain,kasih lah kesempatan tp tetap hukuman nya biar jd pelajaran kedepan jgn sampe terjadi lg,maaf klu pendapat saya salah",Advocacy,
"apa ada korban yg di lecehkan, kalo ada bs di proses",Neutral,
"GIFT NYA BISA DIMATIIN DULU GA SI😭
LAGI NONTON SRIUS JD SALFOK EFEK GIFT NYA",Neutral,
aku liat ga ada yg ganteng ah😭,Neutral,
Rata rata muhhamad namanya 😂😂😂,Neutral,
"Hal ini hanya berlaku bagi sebagian individu dan tidak mencerminkan keseluruhan. Oleh karena itu, jangan berpikir bahwa tindakan satu orang mencerminkan seluruh komunitas kampus.",Neutral,
"KELUARKAN DARI KAMPUS... LAPORKAN POLISI...

SUDAH HARUSNYA POLISI MASUK",Advocacy,
"MEMALUKAN ANAK HUKUM KOK GINI...DO!!! DEMI HARGA DIRI INDONESIA

.ini ui bawa nama Indonesia",Advocacy,
ini yg mana ka klo boleh tau,Neutral,
Hai manusia udah jngn pada sekolah jngn pd kuliah malah tdk pintar! Jadilah orang bodoh ada rasa takut akan Dosa2!,Neutral,
"Proses Hukum hrs di tegakkan d Indonesia ini...
Tanpa pandang bulu y...",Advocacy,
pdhal gnteng smua loh😭,Neutral,
dari pacar salah satu pacar mereka ka,Neutral,
kasus pelecehan seksual yang dilakukan mahasiswa ka,Neutral,
"inilah wajah pakultas di indonesia, negara luar sudah maju ya teknologi di Indonesia sangat memalukan",Neutral,
samaaa plis,Neutral,
tau darimana uy bagi donng,Neutral,
Mahasiswa fakultas hukum?...😮,Neutral,
Pendidikan di luar pondok lebih mengerikan,Neutral,
Konoha GAK ADA YANG BERES.,Neutral,
loh ko nunduk sihhhh,Neutral,
echa auranya manis bgt pdhl,Neutral,
Universitas Indonesia...,Neutral,
di app mana bang,Neutral,
sedih kalo liat papa akseyna minta keadilan di x 😭😭😭,Neutral,
"Tunjukin dong pala pelaku,,,biar kelihatan bullying di fakultas ternama di Indonesia",Advocacy,
Kuliah di universitas ternama moral TDK mendukung TDK bisa saya bayang kan kalau mereka slsai kuliah ada yg jadi menteri anggota DPR.Penegak hukum atau pejabat lain nya.bisa rusak negara korupsi merajalela hukum di perjual belikan .kebijakan asal BPK senang. itulah akibat nya inilah fakta yg bisa terjadi,Neutral,
"iyaa bangg, aku cuma agak gimana nama FHUI jadi tercemar",Neutral,
kurasa amukan dan amarah nya akan sekamakin memanas.... :) pls buat dan ambil keputusan yg SEADIL ADILNYA @univ_indonesia,Advocacy,
"Kerja Demo, mesum, hukum mati, gambar photo, tempat tinggal alamat temoat tinggal harus di bukabiar rakyat tahu",Advocacy,
dalam hati mereka lagi ngomong apa ya,Neutral,
ponakan dekan kan ya salah satunya?,Neutral,
Pecat saja jadi mahasiswa..!! Ini Peringatan bagi yang lain..!!,Advocacy,
Dan didunia kerja,Neutral,
"doain aja kak, agar anak2 kita selalu dipertemukan dan dikelilingi dgn org2 yg sholeh, baik, jujur, en amanah..kemana pu mereka pergi🙏",Neutral,
Maksud yg dikasihani di sini siapa ya? Korban? Pelaku? Kalo pelaku gak perlu dikasihani,Supportive,
😂😂😂😂makanya dek... Jaga napsu mu... Memalukan segini aja dek😂😂😂,Neutral,
ada penyusup d gc nya ka😂,Neutral,
mas herdi mas herdi,Neutral,
eh ini ada apa Cok gw ketinggalan info lagi ih😭,Neutral,
sedih bgt jadi korbannya 😭,Supportive,
"Patut diselidiki, mereka ini masuk lewat jalur apa.  Kelakuannya nggak  kayak  anak yang susah payah belajar dan berjuang buat masuk UI.  Makhluk macem gitu udah ngalahin banyak anak Indonesia yang bener bener cerdas bertekad dan punya akhlak! Ayo Benahi UI, sebelum kehilangan Marwah",Advocacy,
"UnHas, IPB, ITB...sumbangsihnya jelas.. thd pertanian, industri..dlm negeri...UI n UGM... Rusuh melelu/ sumbangnya Demo berjilid iilid
dn masalar moralitas..rendah...",Neutral,
"cuma sampe jam 12 aj, itu udh bener bener ngantuk nunggu mereka datang dari jam 11",Neutral,
"Possible, tapi setidaknya ini adalah salah satu proses penegakan keadilan. Meskipun possibly digunakan untuk menutup isu lain, isu KS sedang diupayakan untuk diberantas.",Neutral,
di akhir2 video ka,Neutral,
pas pasan kalee😂,Neutral,
kekerasan seksual rekan dan dosen katanya,Neutral,
"bentar pulang kerja dulu, nanti gua baca",Neutral,
"tonton lagi, klo masih belum ketemu tonton lagi sampe nemu",Neutral,
"Ini negara hukum tinggal buktikan di pengadilan woii,,,ntr jaksa di suap,agar bukti itu adalah AI😂😂😂",Neutral,
"berani bangett, orang yg sbnr nya takut juga bisa berani kalo lagi d posisi kek gitu krna si pelaku juga gabisa ngapa²in lagi🗿",Neutral,
"Tlg d jelaskan beritanya pelecehan yg gmn sih,, saya tdj paham",Neutral,
search aj kak bnyk kok,Neutral,
harus kena turun akreditasi dulu kah baru DO mereka?,Advocacy,
"maaf kak, emang isi chatnya gimana?",Neutral,
trs apa hubungannya sama kelakuan bejat,Neutral,
nah iya bener banget,Neutral,
bukti moral etika dan akhlaq,Neutral,
"emg mereka setting gitu kak, terbukti bbrp dr mereka megang jabatan tinggi di organisasi 🤷‍♀️",Neutral,
smg beneran ya😭,Neutral,
"Meskipun mahasiswa pandai di UI.mereka..
Itulah manusia yg tidak mempunyai pendidikan ""budi pekerti..""
Sudah waktunya mata pelajaran dari SD..pemerintah memasukkan kurikulum mapel ""budi pekerti""..",Advocacy,
Waduh ....parah ini UI . Orang oramg hukum ini yamg banyak  merusak indonesia,Neutral,
DO........,Advocacy,
"Berdasarkan chat grup privat di DO ?? saya rasa belum cukup kuat untuk men DO. Perlu di telusuri lebih dalam lagi, apakah ada tindakan pelecehan yg dilakukan.",Neutral,
Ya jd preman hukum,Neutral,
"guyonan mesum jangan dinormalisasi biar pada kapok
benarlah klo ini meledak di lingkungan kampu yg isinya akademisi 
terlebih ini fakultas hukum ya harus beneran diadili
harus disebar emang krn no viral no justice
awal munculnya kasus yg viral justru pada datang dr tubuh hukum itu sendiri yg sudah muak membohongi diri dan profesionalisme akademisi, maupun praktisi dan aparat hukum
inget kasus sambo jd awal no viral no justice datang dr polisinya polisi
jadi kalo dah kesebar ga usah bingung UU ITE atau lainnya krn kejahatan walau hanya chatt yg masif dan rawan belanjut maka harus dibongkar

yg rawan dinormalisasi malah obrolan mesum di kalangan sekolah oleh oknum pendidik hingga di publik skala pengajian",Advocacy,
"Orang hukum tahu hukum dong dan pasti hukumanya lebih berat dong, orang hukum pasti tenang krn sdh didik apa pun hasil harus tenang...",Neutral,
pendidikan ngga menjamin sukses kalau ngga ada akhlak yang bagus,Neutral,
saya seorang ibu.. pulang kerja sudah capek scroll tiktok fyp ks di fh ui.. karena planning nya anak ku 2 tahun ke depan mau masuk fh ui.. JD lah aku nonton livenya sampai jam 00.00 sampai ngantuk2,Neutral,
"Lu ngomong gitu karena lu gak pernah jadi korban bro, dan kalo lu lupa cowo bisa jadi korban juga.",Supportive,
"Produk gagal, sdh tidak layak beredar di masyarakat.",Neutral,
"Ini mahasiswa hukum kocak banget, numpang duduk aja kah mereka",Neutral,
series nano beneran ada di indonesia juga ☹️,Neutral,
"Akibat negara tdk melindungi rakytnya...seharusnya pelaku plecehan,korupsi,perkosaan dan pembunuhan,,,para pelaku WAJIB Di hukum MATI...😮",Advocacy,
"Padal udah di sambut di pintu masuk depan, eh malah nongol dr belakang 😌",Neutral,
Dosen2nya padahal para lawyers 😢,Neutral,
😂😂😂😂😂plengerrrr,Neutral,
CALON PENJAHAT KELAMIN,Supportive,
in knp ceritanya am ketinggalan,Neutral,
penjahat aja dipuji wkwkw,Neutral,
"kalau sampe pada akhirnya ga di DO, sakit sih UI aslii...",Advocacy,
"ini kalau kejadiannya d pesantren jangankan banyak begini, satu aja yg bikin pasti seluruh pesantren d indo jadi sasaran kritik, tapi krn d UI jadi aman aja, universitas lain pun aman dari kritik, emang sebenci itu klian sama pondok yah",Neutral,
"Kasus mahasiswa yg dibunuh ditenggelamkan di danau UI sampe skrg pelakunya blm ketauan siapa karena di tutup - tutupi.
ini ada kasus lagi, memalukan sungguh UI banyak oknum gak jelas",Neutral,
"Tadi lihat video lewat katanya harus dateng jam 4 ehh malah dateng jam 10 malem itu pun 2 orang, yang lain di lindungin orangtuanya yang berpangkat..",Neutral,
"Jaga image, pdahal sm aj",Neutral,
"pliss ada apa guys aku ketinggalan berita,pliss kasih tau🙏🏻🙏🏻🙏🏻",Neutral,
